"","IDComm","Richness","Community","CommunityName","Country","LatDecDeg","LongDecDeg","SingleSpCommunities.IDComm","CountOfSpecies","pts_eco"
"255",527,17,"Mistrato","Mistrato","Colombia",5.309261111,-75.88506667,NA,NA,5
"258",530,9,"Reserva Forestal Navarco","Reserva Forestal Navarco","Colombia",4.6166667,-75.5833333,NA,NA,5
"259",533,8,"Hitomo II","Hitomo II","Colombia",-4.142422,-69.932101,NA,NA,6
"261",535,14,"Restrepo","Restrepo","Colombia",4.26513,-73.557762,NA,NA,6
"262",536,9,"Bocas del Pira","Bocas del Pira","Colombia",-0.441263,-70.257216,NA,NA,6
"263",537,10,"Rio Inídira","Rio Inídira","Colombia",3.649198,-67.933718,NA,NA,7
"268",545,10,"1600","1600","Colombia",6.621,-73.50036111,NA,NA,5
"269",550,9,"2000","2000","Colombia",6.629194444,-73.31477778,NA,NA,5
"270",552,6,"3000","3000","Colombia",6.633388889,-73.39441667,NA,NA,3
"272",554,8,"Vereda Retiro Grande, Finca El Brasil","Vereda Retiro Grande, Finca El Brasil","Colombia",7.142555556,-73.05427778,NA,NA,5
"274",556,13,"Finca Buenos Aires","Finca Buenos Aires","Colombia",7.344611111,-73.08419444,NA,NA,5
"278",576,13,"El rasgon","El rasgon","Colombia",7.038888889,-72.98888889,NA,NA,3
"279",578,9,"Juan Parra","Juan Parra","Colombia",7.072361111,-72.93797222,NA,NA,3
"281",580,7,"La planada","La planada","Colombia",7.013638889,-72.96919444,NA,NA,3
"282",581,7,"Pangote","Pangote","Colombia",7.408972222,-72.94711111,NA,NA,3
"283",582,12,"La Pedrera","La Pedrera","Colombia",-0.59937,-72.398646,NA,NA,6
"287",619,15,"Mirador","Mirador","Colombia",4.135305556,-75.73281481,NA,NA,3
"290",622,23,"Monserrat","Monserrat","Colombia",5.598278,-75.856336,NA,NA,5
"306",644,22,"Roncesvalles","Roncesvalles","Colombia",4.04701,-75.593844,NA,NA,3
"307",646,11,"Primavera Alta","Primavera Alta","Colombia",6.783333333,-73.4,NA,NA,5
"308",648,5,"La Florida, Hacienda","La Florida, Hacienda","Colombia",5.60147,-75.462632,NA,NA,5
"309",649,9,"Bosque Los Alcazares, El arenillo","Bosque Los Alcazares, El arenillo","Colombia",5.071837,-75.505213,NA,NA,5
"310",650,21,"Bosque de Florencia","Bosque de Florencia","Colombia",5.5833,-74.9167,NA,NA,6
"311",651,7,"Cerro de Guadalupe","Cerro de Guadalupe","Colombia",5.2664,-75.26675,NA,NA,3
