X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-74.090194,4.43375,train,0.023723527776489683,55.05866842930826,0.5430025061064807
-79.81349,-4.32356,train,3.613452161255023E84,100.0,1.0
-74.010778,4.556944,train,0.023723527776489683,55.05866842930826,0.5430025061064807
-77.91667,-0.68333,train,0.001137835866358223,0.7056827001367154,0.05391604666406408
-79.25007,-3.24997,train,0.01008594994721843,15.783827134628478,0.3356170583927695
-76.633333,2.75,train,0.23415212428294455,100.0,0.9214302087371412
-75.6,6.066667,train,0.17145057842831132,100.0,0.8956934246655279
-72.35,7.4333,train,0.017071839200423797,32.275429559239456,0.4609295676152943
-78.81667,-0.233333,train,0.022915177001822346,52.68548238437422,0.534387672526323
-75.566667,4.633333,train,0.041421347148274355,90.18406310887367,0.6747537274058757
-76.266667,1.883333,train,0.009878369117164202,13.781778340378047,0.3309959815683423
-76.033333,2.566667,train,0.01616733125820005,30.568154888508314,0.4474352853653617
-76.633333,3.5,train,0.17145057842831132,100.0,0.8956934246655279
-74.283333,4.966667,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-78.179697,-1.522207,train,0.016353094226976724,30.91869724606779,0.45026151326385344
-74.069375,11.106986,train,8.595648390346132E81,100.0,1.0
-73.483333,10.966667,train,52.60621823694611,100.0,0.9996206069478955
-75.533333,6.466667,train,0.23415212428294455,100.0,0.9214302087371412
-73.05,7.783333,train,0.043568360074739784,95.12096023470792,0.6857447542380247
-73.6,10.566667,train,5.8896489560853385E84,100.0,1.0
-77.466667,1.283333,train,0.12231170948894042,100.0,0.85966875965471
-71.625015,8.39165,train,0.007033322045299188,6.3143526210810785,0.26049986652125373
-75.565069,6.250892,train,0.23415212428294455,100.0,0.9214302087371412
-74.35,4.6,train,0.023723527776489683,55.05866842930826,0.5430025061064807
-70.7333,8.8167,train,0.021465578833642786,43.85366057813492,0.5180969432110182
-70.6,8.85,train,0.021465578833642786,43.85366057813492,0.5180969432110182
-77.396211,1.242064,train,0.041421347148274355,90.18406310887367,0.6747537274058757
-75.590494,4.736057,train,0.27403921919060364,100.0,0.9320896134826667
-72.941667,10.291667,train,0.02036540457765199,41.70715292228065,0.5049514247582433
-73.716667,5.083333,train,13.603006130679262,100.0,0.9985343867360708
-75.283333,5.7,train,0.12231170948894042,100.0,0.85966875965471
-79.783333,-4.35,train,3.613452161255023E84,100.0,1.0
-71.0667,8.6333,train,0.031457623890013664,75.44838486090667,0.6117347672486221
-74.11167,4.927484,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-72.4,7.48333,train,0.017071839200423797,32.275429559239456,0.4609295676152943
-72.45,7.483315,train,0.014040456566078387,25.717822757963635,0.41287609494527683
-77.0,2.521389,train,0.1675515249714581,100.0,0.8935245772769614
-78.7,-0.016667,train,0.022915177001822346,52.68548238437422,0.534387672526323
-71.08333,8.56667,train,0.031457623890013664,75.44838486090667,0.6117347672486221
-76.688056,2.356389,train,0.0567419906897227,99.99999655182368,0.7397141259006932
-70.73333,8.98333,train,0.021465578833642786,43.85366057813492,0.5180969432110182
-75.416667,4.55,train,0.041421347148274355,90.18406310887367,0.6747537274058757
-75.416667,4.533333,train,0.041421347148274355,90.18406310887367,0.6747537274058757
-75.366667,4.433333,train,0.0653852291441104,100.0,0.7660724182229595
-72.833333,7.2,train,0.014040456566078387,25.717822757963635,0.41287609494527683
-74.083333,4.883333,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-74.012778,4.778944,train,0.033153469807551815,79.36786410386125,0.6241301828072733
-76.4,2.5,train,0.01616733125820005,30.568154888508314,0.4474352853653617
-78.4,-0.21,train,0.01798974454694506,35.78149768607798,0.47396621134409306
-73.35,5.516667,train,0.014040456566078387,25.717822757963635,0.41287609494527683
-77.285278,1.234167,train,0.041421347148274355,90.18406310887367,0.6747537274058757
-76.183333,6.333333,train,0.23415212428294455,100.0,0.9214302087371412
