"","Locality","Species","P_A","Phylo.Relatedness","Hyp","Iteration"
"227","115","t11",0,0.933333333333333,"Lottery",NA
"228","115","t12",0,0.933333333333333,"Lottery",NA
"229","115","t13",0,0.4,"Lottery",NA
"230","115","t14",0,0.4,"Lottery",NA
"231","115","t15",1,2,"Lottery",NA
"232","115","t16",0,0.133333333333333,"Lottery",NA
"233","115","t2",0,0.4,"Lottery",NA
"234","115","t3",1,2,"Lottery",NA
"235","115","t4",0,0.133333333333333,"Lottery",NA
"236","115","t5",0,0.933333333333333,"Lottery",NA
"237","115","t6",0,0.933333333333333,"Lottery",NA
"238","115","t7",0,0.933333333333333,"Lottery",NA
"239","115","t8",0,0.933333333333333,"Lottery",NA
"240","115","t9",0,0.933333333333333,"Lottery",NA
"241","116","t1",0,0.4,"Lottery",NA
"242","116","t10",0,0.933333333333333,"Lottery",NA
"243","116","t11",0,0.933333333333333,"Lottery",NA
"244","116","t12",0,0.933333333333333,"Lottery",NA
"245","116","t13",0,0.4,"Lottery",NA
"246","116","t14",0,0.4,"Lottery",NA
"247","116","t15",1,2,"Lottery",NA
"248","116","t16",0,0.133333333333333,"Lottery",NA
"249","116","t2",0,0.4,"Lottery",NA
"250","116","t3",1,2,"Lottery",NA
"251","116","t4",0,0.133333333333333,"Lottery",NA
"252","116","t5",0,0.933333333333333,"Lottery",NA
"253","116","t6",0,0.933333333333333,"Lottery",NA
"254","116","t7",0,0.933333333333333,"Lottery",NA
"255","116","t8",0,0.933333333333333,"Lottery",NA
"256","116","t9",0,0.933333333333333,"Lottery",NA
"257","117","t1",0,0.4,"Lottery",NA
"258","117","t10",0,0.933333333333333,"Lottery",NA
"259","117","t11",0,0.933333333333333,"Lottery",NA
"260","117","t12",0,0.933333333333333,"Lottery",NA
"261","117","t13",0,0.4,"Lottery",NA
"262","117","t14",0,0.4,"Lottery",NA
"263","117","t15",1,2,"Lottery",NA
"264","117","t16",0,0.133333333333333,"Lottery",NA
"265","117","t2",0,0.4,"Lottery",NA
"266","117","t3",1,2,"Lottery",NA
